id,track_id,name,artists,genre,subgenre
130,6uBhi9gBXWjanegOb2Phh0,Stay,"['Zedd', 'Alessia Cara']",pop,dance pop
131,1Pe3Tnahd3nNcKrTvNvNvW,Million Voices,['Armin van Buuren'],pop,dance pop
132,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna']",pop,dance pop
133,7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),"['The Chainsmokers', 'Halsey']",pop,dance pop
134,2IDHoSlbG0CKH9rhq68wTb,Say My Name (feat. Zyra) - RAC Mix,['ODESZA'],pop,dance pop
135,60wwxj6Dd9NJlirf84wr2c,Clarity,['Zedd'],pop,dance pop
136,6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),"['Clean Bandit', 'Demi Lovato']",pop,dance pop
137,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,"['Martin Garrix', 'Dua Lipa']",pop,dance pop
138,7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),"['Justin Bieber', 'BloodPop®']",pop,dance pop
139,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",pop,dance pop
140,5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),"['Calvin Harris', 'Sam Smith', 'Jessie Reyez']",pop,dance pop
141,0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),"['Riton', 'Oliver Heldens']",pop,dance pop
142,6jq6rcOikCZAmjliAgAmfT,Light,['San Holo'],pop,dance pop
143,762UXiwEHYY97VL45sAUPR,2U,['David Guetta'],pop,dance pop
144,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,['The Chainsmokers'],pop,dance pop
145,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",pop,dance pop
146,3zU9rdflI65tK4dkkNSp77,Heroes (we could be),['Alesso'],pop,dance pop
147,12GEpg2XOPyqk03JZEZnJs,It Ain’t Me (with Selena Gomez),"['Kygo', 'Selena Gomez']",pop,dance pop
148,4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),['Ne-Yo'],pop,dance pop
149,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,['DJ Snake'],pop,dance pop
150,3vv9phIu6Y1vX3jcqaGz5Z,Roses,['The Chainsmokers'],pop,dance pop
151,2QtJA4gbwe1AcanB2p21aP,Stay The Night - Featuring Hayley Williams Of Paramore,['Zedd'],pop,dance pop
152,1BltsyC5W3SAABdxyrDXwi,Latch,['Disclosure'],pop,dance pop
153,3tTYxjYYcXFqFXA0AZ1Fav,Flames,['David Guetta'],pop,dance pop
154,09CtPGIpYB4BrO8qb1RGsF,Sorry,['Justin Bieber'],pop,dance pop
155,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,"['Calvin Harris', 'Rihanna']",pop,dance pop
156,4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,['Avicii'],pop,dance pop
157,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,"['Dynoro', ""Gigi D'Agostino""]",pop,dance pop
158,0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),['David Guetta'],pop,dance pop
159,0n8ob8S72lvznoVfiwz4qL,Where Are Ü Now,['Justin Bieber'],pop,dance pop
160,4r6eNCsrZnQWJzzvFh4nlg,Firework,['Katy Perry'],pop,dance pop
161,0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),"['J Balvin', 'Willy William']",pop,dance pop
162,1MlAkYV0nbRKWhhfvTt3zc,Don't You Worry Child - Radio Edit,['Swedish House Mafia'],pop,dance pop
163,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Trolls'],pop,dance pop
164,7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,['Ellie Goulding'],pop,dance pop
165,0WfKDYeUAoLA3vdvLKKWMW,Poker Face,['Lady Gaga'],pop,dance pop
166,22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,"['Calvin Harris', 'Disciples']",pop,dance pop
167,61ZM92T2zaXIVsqncThQzC,In Your Eyes (feat. Alida),"['Robin Schulz', 'Alida']",pop,dance pop
168,6TnxdnJcZIwCWiCHq5Qds0,Wish You Well (with Sigala),['Becky Hill'],pop,dance pop
169,2aFAmDBycyEnj3lcS95JMe,With You - LöKii Remix,"['Kaskade', 'Meghan Trainor']",pop,dance pop
170,0Npijoc6ZcUe1devUugKvI,Dive,"['Hot Shade', 'Mike Perry']",pop,dance pop
171,5gwLIRjGFf3hXuHoKEsWLg,No Goodbye,['Paul Kalkbrenner'],pop,dance pop
172,3d4lc8esnUl7Bx9J9d9oty,Work,"['MOTi', 'BODYWORX']",pop,dance pop
173,0U6bQIAh6MCGo1xjbIIx2S,Instagram,['Various Artists'],pop,dance pop
174,3oIVK7arAFuUOCGafPLxSC,Better Off Without You (feat. Shift K3Y),"['Becky Hill', 'Shift K3Y']",pop,dance pop
175,2I4jAMEOEUQD5V1byYCqNS,Butterfly,['Molella'],pop,dance pop
176,59QmL8ygKtVfMHmPx3GaBX,All The Love You Got,['MOTi'],pop,dance pop
177,5EdYlCWou17k0N1PADLKfO,Call You Mine - Asketa & Natan Chaim Remix,"['The Chainsmokers', 'Bebe Rexha']",pop,dance pop
178,5MvsfUN0H79C24t3fPepeL,Love Is Not Enough,['GATTÜSO'],pop,dance pop
179,7CHi4DtfK4heMlQaudCuHK,Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']",pop,dance pop
180,1CW7tYkpJ95c7bQkRf6CcK,I Wanna Dance,['Jonas Blue'],pop,dance pop
181,4bSFPMXKYaCoBhzJv276zl,After The Landslide - Club Remix,['Matt Simons'],pop,dance pop
182,5AFrctm65wWIqJsjHPPx85,Midnight Hour with Boys Noize & Ty Dolla $ign,"['Skrillex', 'Boys Noize', 'Ty Dolla $ign']",pop,dance pop
183,3DsjHcLYMExprXJECT4QQP,Pon de Replay,['Ed Marquis'],pop,dance pop
184,7FjZU7XFs7P9jHI9Z0yRhK,So Close,"['NOTD', 'Felix Jaehn', 'Captain Cuts']",pop,dance pop
185,5ijpy4l0nKZPIKHui6SQfE,Look Into My Eyes,['Brando'],pop,dance pop
186,6j8eH9frh703HaGBaSRS6u,Not in Control,"['Glaceo', 'Eliine']",pop,dance pop
187,79Vz5MNH7Qe4F7hPKT8tPz,BLUE,"['Tiësto', 'Stevie Appleton']",pop,dance pop
188,65mOk4n0tfrMysFXu12ufx,Don't Waste My Time,"['Kharfi', 'Jade Million']",pop,dance pop
189,4w5Grfxx5Rpup6mo5v6bW0,Beat Of My Heart,['Lost Frequencies'],pop,dance pop
190,3uiQZlSlSDRduWLFBTSEot,Don't Start Now - Kungs Remix,"['Dua Lipa', 'Kungs']",pop,dance pop
191,29ikXeGM6kScvhvqfvgiwO,Drunken Truth,['Steve Void'],pop,dance pop
192,2Eld7kejX6FH9OptVyKQak,Jacques,"['Jax Jones', 'Tove Lo']",pop,dance pop
193,3BOcWxFUURAomDXRSDFve4,Something Real,['Armin van Buuren'],pop,dance pop
194,4YhN72dRYL2Z3MsaKyT7rS,Stay (Don't Go Away) [feat. Raye],"['David Guetta', 'RAYE']",pop,dance pop
195,7DQ5CZjAQdhgDgdnSXxJ7Z,Solid Gold,['PNAU'],pop,dance pop
196,2aXA9aQfrqaOi1Wy3NfSZI,One Life,['Mike Perry'],pop,dance pop
197,62XCV3AmCMkPa9X5mCim8O,All ‘Bout The Money,['FAULHABER'],pop,dance pop
198,5llPdGZJjJFJv9aL6ZaiLY,Never Letting Go,"['Audien', 'ARTY']",pop,dance pop
199,7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),"['Martin Garrix', 'Dean Lewis']",pop,dance pop
200,2W9pBY75aWOV39S73mqqbn,Giulia,['Prince Paris'],pop,dance pop
201,1JxQmgCEipmHCUiJS568pE,What Do I Do? - Benny Benassi Remix,['Georgia Ku'],pop,dance pop
202,6pu5jQqenr37n0z6eBKOh0,Dreams Of You (feat. Rae Morris),['Icarus'],pop,dance pop
203,3RBk0P36O7wCMxF263jRJL,I Will Let You Down (feat. KLARA),"['Madison Mars', 'KLARA']",pop,dance pop
204,4uRx3SdWG2cNVfRNVPwHDS,Carillon (with Achille Lauro),['Nahaze'],pop,dance pop
205,3ZRgqoTb7pVO11IxcKGtMo,La Vie - Gabry Ponte Mix,"['DJ Ross', 'Gabry Ponte']",pop,dance pop
206,0DhkTGjEaIHaSxTfC14BFm,Lullaby,"['R3HAB', 'Mike Williams']",pop,dance pop
207,4nx4h17pRj1ikT0hZecR8z,Say It,['Phantoms'],pop,dance pop
208,1tq4UL9BB7BHuT6eorlX3X,All This Time,['Deorro'],pop,dance pop
209,4TIkSdsNSfqpuq6ZYvCjAz,All You Need To Know (feat. Calle Lehmann),['Gryffin'],pop,dance pop
210,4P7F3kb2Ze1YleD6lUYwJo,Acordeão,"['Tiësto', 'MOSKA']",pop,dance pop
211,3qeJ84Y6PRS9LtliOuT94Z,My Friend,['Yves V'],pop,dance pop
212,7sYAS4CpbV90oSemgaEQat,On & On,"['Alok', 'Dynoro']",pop,dance pop
213,1CRy08G60mS5jvhB27xMpS,Juliet & Romeo,"['Martin Solveig', 'Roy Woods']",pop,dance pop
214,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),"['R3HAB', 'A Touch Of Class']",pop,dance pop
215,52EB2Gk1nkxZmbomJOXUde,Are You Lonely (feat. ISÁK),"['Steve Aoki', 'Alan Walker']",pop,dance pop
216,4Jwp3yjIQfudmjuctLQlfJ,No More (feat. Brenda Mullen) - Bottai Edit,['Alex Gaudino'],pop,dance pop
217,7N06jo3EnV792VFaG8vuW6,Close Your Eyes,"['Felix Jaehn', 'VIZE', 'Miss Li']",pop,dance pop
218,517cAnPxsaxfrkKHHY41wB,Buzzing (with Nevve),['Audien'],pop,dance pop
219,3GT2CBmJWIEdCpHiB31WYK,Never Be Alone (feat. Aloe Blacc),"['David Guetta', 'MORTEN', 'Aloe Blacc']",pop,dance pop
220,7fPuWrlpwDcHm5aHCH5D9t,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",pop,dance pop
221,1rRWFc2p77FYyb67m5YeVO,Insane,['Ofenbach'],pop,dance pop
222,1LDDUVvutZ3qxvnOrulCBM,Daydreams - Sultan + Shepard Echoes Of Life Remix,['Sultan + Shepard'],pop,dance pop
